"ExchNameCME","GroupNameCME","ExchCodeDDF","GroupNameDDF","IsIgnoreDDF","FutureDisplay","FutureReference","OptionDisplay","OptionReference","SpreadDisplay","SpreadReference","StrikeHack","Comment"
"XCBT","12C","B","12C","Y","0","0","0","0","0","0","0",
"XCBT","12S","B","12S","Y","0","0","0","0","0","0","0",
"XCBT","12W","B","12W","Y","0","0","0","0","0","0","0",
"XCME","1O","M","1O","Y","0","0","0","0","0","0","0","no idea"
"XCME","1Q","M","1Q","Y","0","0","0","0","0","0","0","no idea"
"XCME","3O","M","3O","Y","0","0","0","0","0","0","0","no idea"
"XCME","3Q","M","3Q","Y","0","0","0","0","0","0","0","no idea"
"XCME","4O","M","4O","Y","0","0","0","0","0","0","0","no idea"
"XCME","4Q","M","4Q","Y","0","0","0","0","0","0","0","no idea"
"XCME","6A1","M","6A1","Y","0","0","0","0","0","0","0","AD Options"
"XCME","6A3","M","6A3","Y","0","0","0","0","0","0","0","AD Options"
"XCME","6A4","M","6A4","Y","0","0","0","0","0","0","0","AD Options"
"XCME","6B1","M","6B1","Y","0","0","0","0","0","0","0","BP Options"
"XCME","6B3","M","6B3","Y","0","0","0","0","0","0","0","BP Options"
"XCME","6B4","M","6B4","Y","0","0","0","0","0","0","0","BP Options"
"XCME","6C1","M","6C1","Y","0","0","0","0","0","0","0","CD Options"
"XCME","6C3","M","6C3","Y","0","0","0","0","0","0","0","CD Options"
"XCME","6C4","M","6C4","Y","0","0","0","0","0","0","0","CD Options"
"XCME","6E1","M","6E1","Y","0","0","0","0","0","0","0","EC Options"
"XCME","6E3","M","6E3","Y","0","0","0","0","0","0","0","EC Options"
"XCME","6E4","M","6E4","Y","0","0","0","0","0","0","0","EC Options"
"XCME","6J1","M","6J1","Y","0","0","0","0","0","0","0","JY Options"
"XCME","6J3","M","6J3","Y","0","0","0","0","0","0","0","JY Options"
"XCME","6J4","M","6J4","Y","0","0","0","0","0","0","0","JY Options"
"XCME","6S1","M","6S1","Y","0","0","0","0","0","0","0","SF Options"
"XCME","6S3","M","6S3","Y","0","0","0","0","0","0","0","SF Options"
"XCME","6S4","M","6S4","Y","0","0","0","0","0","0","0","SF Options"
"XOCH","A1C","3","A1C","Y","0","0","0","0","0","0","0",
"XCME","6A","M","A6","N","0","-1","0","0","0","0","0","original:|M6A       A6    M10   YY5   EY|"
"XOCH","AA1C","3","AA1C","Y","0","0","0","0","0","0","0",
"XOCH","AAPL1C","3","AAPL1C","Y","0","0","0","0","0","0","0",
"XOCH","AB1C","3","AB1C","Y","0","0","0","0","0","0","0","ignore XOCH"
"XOCH","AB1C","3","AB1C","Y","0","0","0","0","0","0","0","ignore XOCH"
"XOCH","AB1C","3","AB1C","Y","0","0","0","0","0","0","0","ignore XOCH"
"XOCH","AB1C","3","AB1C","Y","0","0","0","0","0","0","0","ignore XOCH"
"XOCH","ABAT1C","3","ABAT1C","Y","0","0","0","0","0","0","0",
"XOCH","ABAX1C","3","ABAX1C","Y","0","0","0","0","0","0","0",
"XOCH","ABB1C","3","ABB1C","Y","0","0","0","0","0","0","0",
"XOCH","ABBC1C","3","ABBC1C","Y","0","0","0","0","0","0","0",
"XOCH","ABBI1C","3","ABBI1C","Y","0","0","0","0","0","0","0",
"XOCH","ABC1C","3","ABC1C","Y","0","0","0","0","0","0","0",
"XOCH","ABCB1C","3","ABCB1C","Y","0","0","0","0","0","0","0",
"XOCH","ABCW1C","3","ABCW1C","Y","0","0","0","0","0","0","0",
